Time,Source_IP,User_Name,Prediction,Status
10:58:33,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:34,10.247.156.160,Unknown-Device,1,Attack 🚨
10:58:35,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:37,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:58:39,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:58:41,10.247.156.160,Unknown-Device,1,Attack 🚨
10:58:42,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:58:44,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:58:46,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:47,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:58:48,10.247.156.160,Unknown-Device,1,Attack 🚨
10:58:49,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:51,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:53,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:58:54,10.247.156.160,Unknown-Device,1,Attack 🚨
10:58:55,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:57,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:58:59,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:01,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:01,10.247.156.160,Unknown-Device,1,Attack 🚨
10:59:03,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:05,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:06,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:08,10.247.156.160,Unknown-Device,1,Attack 🚨
10:59:08,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:10,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:12,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:15,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:15,10.247.156.160,Unknown-Device,1,Attack 🚨
10:59:16,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:18,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:21,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:22,10.247.156.160,Unknown-Device,1,Attack 🚨
10:59:22,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:24,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:26,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:28,10.247.156.219,DESKTOP-TO63087,0,Safe ✅
10:59:29,10.247.156.160,Unknown-Device,0,Safe ✅
10:59:30,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:32,10.247.156.219,DESKTOP-TO63087,1,Attack 🚨
10:59:36,10.247.156.160,Unknown-Device,0,Safe ✅
10:59:43,10.247.156.160,Unknown-Device,0,Safe ✅
10:59:50,10.247.156.160,Unknown-Device,0,Safe ✅
10:59:57,10.247.156.160,Unknown-Device,0,Safe ✅
11:00:04,10.247.156.160,Unknown-Device,1,Attack 🚨
11:00:10,10.247.156.160,Unknown-Device,0,Safe ✅
11:00:17,10.247.156.160,Unknown-Device,1,Attack 🚨
